year,age,age_gp,edu,parity,add_exp,intention,race,marital,birth_5yr,birth_5yr_binary,race_only,hisp_only,marital_formal,weight,SECU,SEST,wants_more_kids
2015-2017,27,25-29,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,14925.7648346474,3,330,1
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3438.19396398411,1,309,1
2015-2017,15,15-19,<HS,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,19315.8539711972,4,366,1
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,6066.07269363903,3,309,1
2015-2017,34,30-34,Post-Grad,4,0,4,Non-Hispanic Black,Married,1,1,Black,Non-Hispanic,Married,3093.48094004172,3,367,0
2015-2017,24,20-24,HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,30328.5455964451,2,311,0
2015-2017,34,30-34,Some College,3,0,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,17181.3054244459,4,309,0
2015-2017,23,20-24,Bachelor,0,6,6,Hispanic,Never Married,0,0,White,Hispanic,Never Married,12698.6562702902,1,351,1
2015-2017,25,25-29,Some College,0,4,4,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,21473.9389148266,4,367,1
2015-2017,28,25-29,Bachelor,2,1,3,Non-Hispanic Black,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,4572.20830591475,2,367,1
2015-2017,40,40-44,Some College,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,9716.79011676676,2,343,0
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,7838.18876840651,3,322,1
2015-2017,29,25-29,Some College,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4608.82667466353,2,337,1
2015-2017,26,25-29,Some College,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,8574.80124480057,2,305,1
2015-2017,31,30-34,Some College,3,0,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,17248.9499425796,4,351,0
2015-2017,20,20-24,HS,0,4,4,Hispanic,Never Married,0,0,White,Hispanic,Never Married,2718.1385031389,2,305,1
2015-2017,38,35-39,HS,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,15781.2896090793,4,367,0
2015-2017,35,35-39,Some College,3,0,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,18951.270515479,1,331,0
2015-2017,34,30-34,Some College,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,20794.4298240089,1,347,0
2015-2017,43,40-44,Some College,1,0,1,Other or Multiple,Married,0,0,Black,Non-Hispanic,Married,8797.9970449073,1,366,0
2015-2017,29,25-29,Bachelor,0,3,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,27288.3647878121,3,351,1
2015-2017,26,25-29,Bachelor,0,4,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,76381.3721402399,1,366,1
2015-2017,40,40-44,Some College,5,0,5,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,30691.6327603984,4,309,0
2015-2017,22,20-24,HS,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,9116.65513596053,1,366,1
2015-2017,26,25-29,HS,2,1,3,Non-Hispanic White,Cohabitating,2,1,White,Non-Hispanic,Never Married,19774.5302910893,4,322,1
2015-2017,25,25-29,<HS,2,1,3,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Never Married,9307.92901589569,3,368,1
2015-2017,32,30-34,HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3658.01099550225,2,322,1
2015-2017,19,15-19,Some College,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3998.49825443258,3,365,1
2015-2017,21,20-24,Some College,0,0,0,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,5271.77111143605,1,347,0
2015-2017,40,40-44,HS,0,0,0,Other or Multiple,Married,0,0,Black,Non-Hispanic,Married,3103.55571897637,4,365,0
2015-2017,16,15-19,<HS,0,3,3,Other or Multiple,Never Married,0,0,White,Non-Hispanic,Never Married,6970.67566302185,1,331,1
2015-2017,35,35-39,Some College,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,10184.7342775215,1,331,1
2015-2017,42,40-44,Some College,1,0,1,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,8731.89521050692,1,367,0
2015-2017,44,40-44,<HS,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,3634.20485497993,4,330,0
2015-2017,37,35-39,Some College,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,3641.01561712514,3,322,0
2015-2017,29,25-29,Bachelor,0,2,2,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,2727.28151094099,2,312,1
2015-2017,27,25-29,HS,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,20686.2443049187,1,316,1
2015-2017,39,35-39,Bachelor,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,41472.3137158259,4,330,0
2015-2017,29,25-29,HS,3,0,3,Hispanic,Cohabitating,1,1,White,Hispanic,Never Married,43176.2524328872,4,305,0
2015-2017,34,30-34,Some College,1,0,1,Non-Hispanic Black,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,14532.8524996537,4,329,0
2015-2017,26,25-29,HS,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,40747.5065053622,3,316,0
2015-2017,42,40-44,Bachelor,2,1,3,Hispanic,Never Married,1,1,White,Hispanic,Never Married,21004.4763945645,4,331,1
2015-2017,21,20-24,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,26495.9833571998,4,366,1
2015-2017,37,35-39,Some College,0,2,2,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,7346.81339645805,4,311,1
2015-2017,35,35-39,Some College,3,0,3,Hispanic,Married,1,1,White,Hispanic,Married,5390.26594003534,3,351,0
2015-2017,44,40-44,Some College,6,0,6,Hispanic,Formerly Married,0,0,White,Hispanic,Formerly Married,4618.2460001386,4,305,0
2015-2017,35,35-39,Some College,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,20950.7491211276,1,329,0
2015-2017,32,30-34,Some College,2,0,2,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,19596.057097983,2,316,0
2015-2017,30,30-34,<HS,0,3,3,Hispanic,Formerly Married,0,0,Other,Hispanic,Formerly Married,6987.70265622488,2,322,1
2015-2017,30,30-34,HS,3,0,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,4160.22451087675,3,367,0
2015-2017,26,25-29,Bachelor,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,8706.99972026948,1,311,1
2015-2017,41,40-44,Some College,3,0,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,12961.4889248662,3,347,0
2015-2017,37,35-39,Bachelor,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,14596.8516903891,3,364,1
2015-2017,27,25-29,Post-Grad,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,17823.9200682881,2,343,1
2015-2017,27,25-29,Some College,2,0,2,Non-Hispanic Black,Married,1,1,Black,Non-Hispanic,Married,8456.65868879924,1,337,0
2015-2017,27,25-29,Post-Grad,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,11296.0934076904,4,347,1
2015-2017,25,25-29,Post-Grad,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6518.02352800707,3,351,1
2015-2017,44,40-44,HS,3,0,3,Hispanic,Married,0,0,White,Hispanic,Married,4245.89634621323,1,312,0
2015-2017,29,25-29,HS,3,1,4,Hispanic,Cohabitating,1,1,White,Hispanic,Never Married,5103.00484846667,1,330,1
2015-2017,31,30-34,Some College,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,12832.8533723866,2,305,1
2015-2017,21,20-24,Some College,0,7,7,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,18800.2726690521,3,367,1
2015-2017,31,30-34,Some College,0,3,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4132.80915663323,4,305,1
2015-2017,36,35-39,HS,2,0,2,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,6285.97646859704,4,367,0
2015-2017,28,25-29,HS,5,0,5,Non-Hispanic Black,Never Married,2,1,Black,Non-Hispanic,Never Married,2969.19306877393,4,330,0
2015-2017,18,15-19,HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,18993.8059370457,3,331,1
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3772.04756945713,4,305,1
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,39698.5136517626,2,367,1
2015-2017,32,30-34,Post-Grad,0,1,1,Other or Multiple,Cohabitating,0,0,Other,Non-Hispanic,Never Married,17715.0919477889,2,322,1
2015-2017,18,15-19,Some College,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,9246.89207074336,3,347,1
2015-2017,23,20-24,Some College,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,14380.2325343355,3,367,1
2015-2017,43,40-44,Bachelor,1,0,1,Other or Multiple,Formerly Married,1,1,Other,Non-Hispanic,Formerly Married,4043.40194859389,1,309,0
2015-2017,32,30-34,Bachelor,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4135.97515779902,2,343,1
2015-2017,34,30-34,<HS,1,0,1,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,5421.30024366669,3,343,0
2015-2017,28,25-29,Some College,4,0,4,Non-Hispanic Black,Married,1,1,Black,Non-Hispanic,Married,58069.9622672804,3,331,0
2015-2017,28,25-29,HS,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,6593.26225458536,2,311,1
2015-2017,43,40-44,Bachelor,2,0,2,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,42237.7932098844,2,337,0
2015-2017,32,30-34,Post-Grad,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,6369.8124342051,1,309,1
2015-2017,21,20-24,Some College,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,5207.72089944464,1,311,1
2015-2017,34,30-34,Bachelor,0,3,3,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,11367.8705805724,1,364,1
2015-2017,41,40-44,Some College,2,0,2,Hispanic,Married,0,0,White,Hispanic,Married,4647.66291591225,2,305,0
2015-2017,35,35-39,HS,2,0,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,24056.0901371918,3,368,0
2015-2017,36,35-39,Some College,1,0,1,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,5964.26064845737,1,316,0
2015-2017,42,40-44,HS,1,0,1,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,4494.1523833399,1,316,0
2015-2017,31,30-34,Some College,2,0,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,5998.81281940678,4,305,0
2015-2017,19,15-19,Some College,0,2,2,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,19373.5739145745,4,309,1
2015-2017,38,35-39,<HS,1,1,2,Hispanic,Married,1,1,White,Hispanic,Married,2906.54679465607,1,330,1
2015-2017,33,30-34,Some College,2,1,3,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,4065.69852350394,1,367,1
2015-2017,37,35-39,Bachelor,1,0,1,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,15575.9978626228,3,343,0
2015-2017,33,30-34,HS,4,0,4,Other or Multiple,Formerly Married,1,1,Other,Non-Hispanic,Formerly Married,59152.3502745441,3,364,0
2015-2017,40,40-44,Bachelor,2,0,2,Other or Multiple,Married,1,1,Other,Non-Hispanic,Married,52225.9502980149,2,305,0
2015-2017,26,25-29,Some College,1,1,2,Hispanic,Married,1,1,White,Hispanic,Married,6992.86549082848,3,312,1
2015-2017,24,20-24,HS,1,1,2,Non-Hispanic Black,Cohabitating,1,1,Black,Non-Hispanic,Never Married,4441.74572926298,3,351,1
2015-2017,29,25-29,HS,1,0,1,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,29981.2806364166,2,322,0
2015-2017,32,30-34,<HS,2,0,2,Hispanic,Married,1,1,White,Hispanic,Married,4108.68448968613,1,309,0
2015-2017,29,25-29,Post-Grad,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6800.7665661520095,2,351,0
2015-2017,15,15-19,<HS,0,3,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2793.73782028405,2,367,1
2015-2017,19,15-19,HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4313.35772121478,1,330,1
2015-2017,43,40-44,Post-Grad,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4192.50995906732,4,329,0
2015-2017,24,20-24,Some College,2,0,2,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,6548.68210659172,3,322,0
2015-2017,29,25-29,HS,3,1,4,Other or Multiple,Formerly Married,1,1,Other,Non-Hispanic,Formerly Married,4278.37808989058,2,337,1
2015-2017,23,20-24,Some College,0,2,2,Other or Multiple,Cohabitating,0,0,Other,Non-Hispanic,Never Married,7986.60849119073,3,305,1
2015-2017,32,30-34,HS,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,4594.36385692656,2,368,0
2015-2017,29,25-29,HS,4,0,4,Other or Multiple,Married,2,1,White,Non-Hispanic,Married,5653.43029721792,1,309,0
2015-2017,16,15-19,<HS,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,8400.53568283344,2,305,1
2015-2017,27,25-29,Some College,1,1,2,Non-Hispanic Black,Married,1,1,Black,Non-Hispanic,Married,7823.74597345108,1,367,1
2015-2017,22,20-24,Some College,0,4,4,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,26950.2125890297,2,367,1
2015-2017,25,25-29,Bachelor,0,2,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Never Married,7226.1841512672,1,367,1
2015-2017,33,30-34,Bachelor,2,0,2,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,7917.79201025512,2,337,0
2015-2017,20,20-24,HS,1,1,2,Other or Multiple,Never Married,1,1,Other,Non-Hispanic,Never Married,5202.3821451137,2,322,1
2015-2017,37,35-39,<HS,2,0,2,Hispanic,Married,0,0,Other,Hispanic,Married,5383.96513237654,3,351,0
2015-2017,39,35-39,Some College,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,16781.2477222609,4,351,0
2015-2017,23,20-24,Some College,1,1,2,Non-Hispanic Black,Cohabitating,1,1,Black,Non-Hispanic,Never Married,7405.73558583341,2,329,1
2015-2017,36,35-39,HS,2,0,2,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,5032.86237062383,4,367,0
2015-2017,25,25-29,Some College,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,7295.63030368695,4,368,1
2015-2017,16,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,4131.04768466925,3,343,1
2015-2017,17,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,2361.36655351949,1,312,1
2015-2017,35,35-39,HS,2,0,2,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,7952.92128197545,4,351,0
2015-2017,25,25-29,Some College,1,2,3,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,4942.84276841581,4,367,1
2015-2017,35,35-39,Bachelor,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,23334.5144446408,4,351,1
2015-2017,35,35-39,Post-Grad,0,1,1,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3068.02798044855,3,365,1
2015-2017,39,35-39,Some College,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3950.21438040625,3,343,0
2015-2017,32,30-34,HS,3,0,3,Other or Multiple,Married,1,1,Other,Non-Hispanic,Married,36432.2216067446,4,366,0
2015-2017,21,20-24,Some College,0,1,1,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,12344.1484030841,1,331,1
2015-2017,28,25-29,Some College,2,1,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,2507.88581328194,4,367,1
2015-2017,41,40-44,HS,0,0,0,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,16459.4066440883,1,322,0
2015-2017,44,40-44,<HS,3,0,3,Non-Hispanic Black,Married,0,0,Black,Non-Hispanic,Married,20166.7176838954,3,331,0
2015-2017,42,40-44,Some College,3,0,3,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,3946.84329784357,4,331,0
2015-2017,24,20-24,HS,1,1,2,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,3564.05110897987,3,311,1
2015-2017,30,30-34,Some College,2,2,4,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Never Married,6483.21927197739,4,365,1
2015-2017,20,20-24,Some College,1,0,1,Hispanic,Never Married,1,1,White,Hispanic,Never Married,9968.95570476973,4,347,0
2015-2017,28,25-29,HS,2,1,3,Hispanic,Married,1,1,White,Hispanic,Married,21769.6095544018,2,305,1
2015-2017,34,30-34,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3326.19312001117,3,316,1
2015-2017,32,30-34,Some College,3,0,3,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,2377.33322482815,2,366,0
2015-2017,35,35-39,HS,1,1,2,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,8479.0610666063,2,351,1
2015-2017,25,25-29,Some College,1,1,2,Other or Multiple,Married,0,0,Black,Non-Hispanic,Married,6942.63087416596,2,364,1
2015-2017,15,15-19,<HS,0,0,0,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4476.53781647,2,364,0
2015-2017,41,40-44,Post-Grad,0,0,0,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,8759.46309926295,3,347,0
2015-2017,31,30-34,Some College,0,1,1,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,92486.0272125271,3,366,1
2015-2017,34,30-34,Some College,1,1,2,Non-Hispanic White,Formerly Married,1,1,White,Non-Hispanic,Formerly Married,6344.52570019301,1,331,1
2015-2017,19,15-19,HS,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,3755.39827173457,2,368,1
2015-2017,16,15-19,<HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,3439.59322171042,3,311,0
2015-2017,24,20-24,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,4056.78456615082,4,367,1
2015-2017,28,25-29,Some College,1,3,4,Hispanic,Married,1,1,Other,Hispanic,Married,4001.69765645304,4,309,1
2015-2017,38,35-39,Some College,2,0,2,Other or Multiple,Cohabitating,0,0,Black,Non-Hispanic,Never Married,5208.88667671746,1,331,0
2015-2017,34,30-34,HS,2,1,3,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,9223.42487847833,1,322,1
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,58051.6582924632,1,368,1
2015-2017,36,35-39,Some College,1,2,3,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,6946.77611786708,4,311,1
2015-2017,20,20-24,<HS,2,0,2,Hispanic,Never Married,2,1,White,Hispanic,Never Married,3319.21811227408,1,330,0
2015-2017,44,40-44,Some College,2,0,2,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,1924.916,1,312,0
2015-2017,19,15-19,<HS,1,0,1,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,6275.90555872616,3,368,0
2015-2017,18,15-19,HS,0,1,1,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,6162.29217710745,2,337,1
2015-2017,43,40-44,Bachelor,2,0,2,Non-Hispanic White,Formerly Married,0,0,White,Non-Hispanic,Formerly Married,6948.49475150195,3,367,0
2015-2017,37,35-39,Bachelor,2,0,2,Other or Multiple,Married,2,1,Other,Non-Hispanic,Married,21433.426357957,3,337,0
2015-2017,37,35-39,HS,0,1,1,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,9888.01275815981,2,311,1
2015-2017,36,35-39,Bachelor,1,0,1,Non-Hispanic Black,Never Married,1,1,Black,Non-Hispanic,Never Married,2730.87114719357,4,367,0
2015-2017,27,25-29,HS,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,27529.5903509406,2,322,0
2015-2017,36,35-39,Some College,3,0,3,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,11248.9964138798,4,368,0
2015-2017,15,15-19,<HS,0,4,4,Hispanic,Never Married,0,0,White,Hispanic,Never Married,7483.94733570709,2,311,1
2015-2017,26,25-29,<HS,4,0,4,Non-Hispanic White,Formerly Married,1,1,White,Non-Hispanic,Formerly Married,3456.92013758235,4,309,0
2015-2017,30,30-34,Some College,2,0,2,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,5987.83705389515,3,368,0
2015-2017,33,30-34,Some College,2,0,2,Non-Hispanic White,Never Married,1,1,White,Non-Hispanic,Never Married,11464.868912002,4,343,0
2015-2017,23,20-24,Some College,1,3,4,Non-Hispanic White,Cohabitating,1,1,White,Non-Hispanic,Never Married,95634.313520854,1,347,1
2015-2017,32,30-34,Some College,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,7523.07803331187,1,309,1
2015-2017,32,30-34,<HS,3,0,3,Non-Hispanic Black,Cohabitating,0,0,Black,Non-Hispanic,Never Married,4665.54662903992,2,329,0
2015-2017,30,30-34,Some College,3,0,3,Non-Hispanic Black,Never Married,3,1,Black,Non-Hispanic,Never Married,4631.08374222614,4,329,0
2015-2017,34,30-34,Post-Grad,2,0,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,5395.41487179747,2,309,0
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,10726.5077293568,1,311,1
2015-2017,21,20-24,<HS,0,3,3,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,8482.89772839122,2,329,1
2015-2017,29,25-29,Bachelor,0,1,1,Other or Multiple,Married,0,0,Other,Non-Hispanic,Married,6350.14854509556,1,312,1
2015-2017,26,25-29,Bachelor,0,2,2,Other or Multiple,Married,0,0,White,Non-Hispanic,Married,10101.7052358389,4,309,1
2015-2017,24,20-24,HS,1,0,1,Other or Multiple,Cohabitating,1,1,White,Non-Hispanic,Never Married,15746.8504549307,2,330,0
2015-2017,37,35-39,Some College,2,0,2,Non-Hispanic White,Cohabitating,0,0,White,Non-Hispanic,Formerly Married,48560.5353334175,1,322,0
2015-2017,27,25-29,<HS,3,1,4,Hispanic,Married,0,0,White,Hispanic,Married,5864.95261081522,1,330,1
2015-2017,29,25-29,HS,2,0,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,5291.96593243534,1,365,0
2015-2017,21,20-24,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,8970.78780845459,4,367,1
2015-2017,33,30-34,Post-Grad,0,1,1,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,3171.87821895433,2,367,1
2015-2017,28,25-29,Some College,0,3,3,Non-Hispanic Black,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,11077.8053748974,3,365,1
2015-2017,15,15-19,<HS,0,2,2,Other or Multiple,Never Married,0,0,Other,Non-Hispanic,Never Married,4468.03989874305,1,309,1
2015-2017,15,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4049.6863686163,1,312,1
2015-2017,39,35-39,Bachelor,2,0,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,6539.06260177598,1,309,0
2015-2017,42,40-44,Post-Grad,3,0,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,1924.916,4,309,0
2015-2017,18,15-19,<HS,0,1,1,Hispanic,Never Married,0,0,Other,Hispanic,Never Married,1924.916,4,347,1
2015-2017,39,35-39,HS,4,1,5,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,6401.45739023141,4,316,1
2015-2017,37,35-39,HS,3,0,3,Other or Multiple,Formerly Married,0,0,Other,Non-Hispanic,Formerly Married,83891.1512751491,2,322,0
2015-2017,40,40-44,Bachelor,3,0,3,Hispanic,Married,0,0,White,Hispanic,Married,7471.90907207172,1,367,0
2015-2017,25,25-29,Bachelor,0,2,2,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,7687.89318262538,4,365,1
2015-2017,34,30-34,Bachelor,1,1,2,Non-Hispanic White,Married,1,1,White,Non-Hispanic,Married,27332.8437168123,2,347,1
2015-2017,42,40-44,Some College,4,0,4,Non-Hispanic Black,Formerly Married,0,0,Black,Non-Hispanic,Formerly Married,106774.4,4,329,0
2015-2017,17,15-19,<HS,0,1,1,Other or Multiple,Never Married,0,0,Black,Non-Hispanic,Never Married,9073.47162463648,2,322,1
2015-2017,16,15-19,<HS,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,11872.8824664585,2,368,1
2015-2017,32,30-34,Post-Grad,2,1,3,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,106774.4,3,330,1
2015-2017,15,15-19,<HS,0,2,2,Hispanic,Never Married,0,0,White,Hispanic,Never Married,3684.27795681272,3,312,1
2015-2017,33,30-34,Bachelor,1,2,3,Hispanic,Cohabitating,1,1,White,Hispanic,Never Married,14909.8002002617,3,312,1
2015-2017,42,40-44,Bachelor,4,0,4,Non-Hispanic White,Married,0,0,White,Non-Hispanic,Married,26484.5610763525,3,331,0
2015-2017,23,20-24,HS,2,0,2,Non-Hispanic White,Married,2,1,White,Non-Hispanic,Married,9832.35728523411,1,329,0
2015-2017,17,15-19,HS,0,0,0,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,2619.67059113921,1,347,0
2015-2017,19,15-19,Some College,0,3,3,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,8678.08972021403,4,311,1
2015-2017,25,25-29,Some College,0,2,2,Non-Hispanic White,Never Married,0,0,White,Non-Hispanic,Never Married,4254.83507353221,3,322,1
2015-2017,20,20-24,Some College,0,2,2,Non-Hispanic Black,Never Married,0,0,Black,Non-Hispanic,Never Married,26495.9833571998,4,366,1
